"","ScientificName","Longitude.X","Latitude.Y"
"16888","Hyalomma truncatum",33.6451,-14.4138
"16889","Hyalomma truncatum",33.3167,-14.1071
"16890","Hyalomma truncatum",34.58333333,-16.41666667
"16891","Hyalomma truncatum",-3.566666667,15.06666667
"16892","Hyalomma truncatum",-8,12.65
"16893","Hyalomma truncatum",-6.483333333,13.21666667
"16894","Hyalomma truncatum",-4.716666667,13.43333333
"16895","Hyalomma truncatum",-6.5,12.83333333
"16896","Hyalomma truncatum",-7.966666667,13.66666667
"16897","Hyalomma truncatum",-0.05,16.26666667
"16898","Hyalomma truncatum",-9.9,15.11666667
"16899","Hyalomma truncatum",-4.966666667,14.6
"16900","Hyalomma truncatum",-2.366666667,15.21666667
"16901","Hyalomma truncatum",-9.716666667,15.4
"16902","Hyalomma truncatum",-4,15.93333333
"16903","Hyalomma truncatum",-6,14.25
"16904","Hyalomma truncatum",-9.583333333,15.23333333
"16905","Hyalomma truncatum",-10.9562,14.7028
"16906","Hyalomma truncatum",-10.9839,14.5454
"16907","Hyalomma truncatum",-11.3671,14.5343
"16908","Hyalomma truncatum",-11.7246,14.5944
"16909","Hyalomma truncatum",-11.768,14.274
"16910","Hyalomma truncatum",-11.7681,13.6544
"16911","Hyalomma truncatum",-11.4245,13.5099
"16912","Hyalomma truncatum",-11.1875,12.9026
"16913","Hyalomma truncatum",-11.2686,12.3088
"16914","Hyalomma truncatum",-10.6166,13.5886
"16915","Hyalomma truncatum",-10.9109,13.8475
"16916","Hyalomma truncatum",-10.7924,13.8125
"16917","Hyalomma truncatum",-10.7509,13.9119
"16918","Hyalomma truncatum",-9.554,13.8969
"16919","Hyalomma truncatum",-8.4538,14.3196
"16920","Hyalomma truncatum",-8.4973,14.0348
"16921","Hyalomma truncatum",-7.5295,13.8166
"16922","Hyalomma truncatum",-7.3953,13.5589
"16923","Hyalomma truncatum",-7.5886,15.0725
"16924","Hyalomma truncatum",-7.0869,15.1909
"16925","Hyalomma truncatum",-6.0263,14.8945
"16926","Hyalomma truncatum",-5.9296,14.8182
"16927","Hyalomma truncatum",-5.4496,15.3203
"16928","Hyalomma truncatum",-9.3348,13.3157
"16929","Hyalomma truncatum",-9.2756,13.2224
"16930","Hyalomma truncatum",-9.3862,13.1826
"16931","Hyalomma truncatum",-9.5126,13.0434
"16932","Hyalomma truncatum",-9.327,12.638
"16933","Hyalomma truncatum",-8.9537,12.9113
"16934","Hyalomma truncatum",-8.7305,13.0995
"16935","Hyalomma truncatum",-8.8707,13.4171
"16936","Hyalomma truncatum",-8.5408,13.5572
"16937","Hyalomma truncatum",-8.3848,13.4007
"16938","Hyalomma truncatum",-7.7094,12.8254
"16939","Hyalomma truncatum",-7.9958,12.5675
"16940","Hyalomma truncatum",-8.1124,12.3835
"16941","Hyalomma truncatum",-7.9464,12.3955
"16942","Hyalomma truncatum",-7.7785,12.5274
"16943","Hyalomma truncatum",-7.5889,12.4422
"16944","Hyalomma truncatum",-7.7015,12.3162
"16945","Hyalomma truncatum",-7.7136,10.5769
"16946","Hyalomma truncatum",-7.5418,10.6302
"16947","Hyalomma truncatum",-6.7002,11.8304
"16948","Hyalomma truncatum",-6.5581,11.041
"16949","Hyalomma truncatum",-6.7931,11.0343
"16950","Hyalomma truncatum",-6.9769,10.7189
"16951","Hyalomma truncatum",-6.8426,10.7589
"16952","Hyalomma truncatum",-6.9828,10.4306
"16953","Hyalomma truncatum",-6.0267,11.6613
"16954","Hyalomma truncatum",-6.0425,11.562
"16955","Hyalomma truncatum",-5.9102,11.6432
"16956","Hyalomma truncatum",-5.9063,11.5346
"16957","Hyalomma truncatum",-5.6752,11.2904
"16958","Hyalomma truncatum",-5.4777,11.1753
"16959","Hyalomma truncatum",-6.3781,13.3727
"16960","Hyalomma truncatum",-6.2003,13.4671
"16961","Hyalomma truncatum",-6.0147,13.3819
"16962","Hyalomma truncatum",-6.1944,13.2762
"16963","Hyalomma truncatum",-6.1905,13.3848
"16964","Hyalomma truncatum",-6.0284,14.2449
"16965","Hyalomma truncatum",-5.8605,14.2251
"16966","Hyalomma truncatum",-5.7894,14.3359
"16967","Hyalomma truncatum",-5.4339,13.9893
"16968","Hyalomma truncatum",-5.0013,14.2216
"16969","Hyalomma truncatum",-4.9856,14.1412
"16970","Hyalomma truncatum",-4.8433,14.4938
"16971","Hyalomma truncatum",-4.4937,14.941
"16972","Hyalomma truncatum",-4.154,14.5476
"16973","Hyalomma truncatum",-4.5116,13.9656
"16974","Hyalomma truncatum",-4.4938,13.8608
"16975","Hyalomma truncatum",-3.5734,13.8801
"16976","Hyalomma truncatum",-3.048,13.935
"16977","Hyalomma truncatum",-2.9907,14.0514
"16978","Hyalomma truncatum",-2.6055,14.4931
"16979","Hyalomma truncatum",-2.7812,14.979
"16980","Hyalomma truncatum",-2.1591,15.0924
"16981","Hyalomma truncatum",-11.3794,13.2886
"16982","Hyalomma truncatum",-9.8174,12.8081
"16983","Hyalomma truncatum",-9.5879,12.8277
"16984","Hyalomma truncatum",-9.9438,12.5552
"16985","Hyalomma truncatum",-9.6332,12.5123
"16986","Hyalomma truncatum",-9.7767,12.4142
"16987","Hyalomma truncatum",-9.1705,12.4025
"16988","Hyalomma truncatum",-7.5768,12.5191
"16989","Hyalomma truncatum",-6.2866,13.1906
"16990","Hyalomma truncatum",-7.7295,10.553
"16991","Hyalomma truncatum",-7.5908,10.5785
"16992","Hyalomma truncatum",-7.4713,10.5753
"16993","Hyalomma truncatum",-4.9,13.3
"16994","Hyalomma truncatum",-6.266666667,13.45
"16995","Hyalomma truncatum",-6.233333333,13.61666667
"16996","Hyalomma truncatum",-7.933333333,12.65
"16997","Hyalomma truncatum",-9.616666667,16.66666667
"16998","Hyalomma truncatum",-14.26666667,16.58333333
"16999","Hyalomma truncatum",-9.683333333,15.75
"17000","Hyalomma truncatum",-14.03333333,16.7
"17001","Hyalomma truncatum",-10.11666667,15.53333333
"17002","Hyalomma truncatum",31.33333333,-22.43333333
